id_respon,timestamp,layanan,komentar_teks,id_pengisian,urut_komentar,label_manual
001-01,08/01/2026 22:22:25,Portal Akademik (WEB),"terkadang bisa logout otomatis, jdi harus mengulang login sebanyak 2x.",1,1,negatif
001-02,08/01/2026 22:22:25,MyClass UMSU,"informasi penggunaannya sangat mudah dipahami, good!",1,2,positif
001-03,08/01/2026 22:22:25,WiFi Kampus,"wifi biasa, kadang cepat kadang lambat.",1,3,netral
001-04,08/01/2026 22:22:25,Helpdesk/Technical Support,IT helpdesk ini bener bener ngebantu banget sih. good,1,4,positif
001-05,08/01/2026 22:22:25,Saran Peningkatan,tidak ada,1,5,netral
002-01,08/01/2026 22:24:47,Portal Akademik (WEB),"Server down, gabisa login",2,1,negatif
002-02,08/01/2026 22:24:47,MyClass UMSU,"UI friendly, mudah digunakan",2,2,positif
002-03,08/01/2026 22:24:47,WiFi Kampus,Sejauh ini wifinya sudah bagus,2,3,positif
002-04,08/01/2026 22:24:47,Helpdesk/Technical Support,Respon lumayan cepat,2,4,positif
002-05,08/01/2026 22:24:47,Saran Peningkatan,Servernya ditingkatkan lagi,2,5,positif
003-01,08/01/2026 22:34:41,Portal Akademik (WEB),Yaa mungkin paling kadang server nya pernah down juga jadi gabisa di akses,3,1,negatif
003-02,08/01/2026 22:34:41,MyClass UMSU,Mungkin di hp saya download materi nya gabisa di aplikasi harus dri web,3,2,negatif
003-03,08/01/2026 22:34:41,WiFi Kampus,Terkadang lemot wifinya tpi kadang juga kencang kecepatan wifinya,3,3,positif
003-04,08/01/2026 22:34:41,Helpdesk/Technical Support,Bagus sih,3,4,positif
003-05,08/01/2026 22:34:41,Saran Peningkatan,Sudah cukup bagus,3,5,positif
004-01,08/01/2026 22:34:59,Portal Akademik (WEB),syukaaa,4,1,positif
004-02,08/01/2026 22:34:59,MyClass UMSU,baik deh pokoknya,4,2,positif
004-03,08/01/2026 22:34:59,WiFi Kampus,"agak lag, terus sering disconnect tbtb",4,3,negatif
004-04,08/01/2026 22:34:59,Helpdesk/Technical Support,-,4,4,netral
004-05,08/01/2026 22:34:59,Saran Peningkatan,tetaplah berkembang,4,5,positif
005-01,08/01/2026 22:36:10,Portal Akademik (WEB),"kalau di web lumayan lengkap, dan tidak terlalu ribet dibandingkan dengan aplikasinya, apalagi untuk bayar uang kuliah dari web lebih mudah daripada aplikasi",5,1,positif
005-02,08/01/2026 22:36:10,MyClass UMSU,"lumayan ribet ya kalau aplikasi nya, ga terlalu asik",5,2,negatif
